Watchlist Scanner

Results
Symbol,Description,Last,%Change,Volume,Bid,Ask,Delta,Gamma,Theta,Vega,Sizzle Index,Volume,Days,Mark,Mark % of underlying value,VWAP,Prob.ITM,Max Cov Return,Cov Return
BSMX,BANCO SANTANDER MEXICO SA INSTITUCION DE BANCA MULTIPLE,5.58,+18.98%,"3,218,221",5.58,5.59,1.00,.00,.00,.00,72.04,"3,218,221",NaN,5.580,100.00%,5.6,<empty>,<empty>,<empty>
KURA,KURA ONCOLOGY INC COM,26.29,-3.70%,"338,884",26.20,26.44,1.00,.00,.00,.00,57.383,"338,884",NaN,26.290,100.00%,27.11,<empty>,<empty>,<empty>
VG,VONAGE HLDGS CORPORATION COM,11.69,+1.74%,"2,523,938",11.69,11.70,1.00,.00,.00,.00,38.084,"2,523,938",NaN,11.690,100.00%,11.73,<empty>,<empty>,<empty>
BSIG,BRIGHTSPHERE INVEST GRP PLC COM,19.47,+0.67%,"159,016",19.43,19.47,1.00,.00,.00,.00,36.623,"159,016",NaN,19.470,100.00%,19.48,<empty>,<empty>,<empty>
CCEP,COCA-COLA EUROPEAN PARTNERS PL COM,52.77,+0.53%,"496,145",52.75,52.81,1.00,.00,.00,.00,32.717,"496,145",NaN,52.770,100.00%,52.64,<empty>,<empty>,<empty>
FWONK,LIBERTY MEDIA CORPORATION COM,42.65,-1.43%,"304,242",42.64,42.73,1.00,.00,.00,.00,29.173,"304,242",NaN,42.650,100.00%,43.11,<empty>,<empty>,<empty>
BSBR,BANCO SANTANDER (BRAZIL) SA ADR SPONSORED,7.135,+1.49%,"1,501,552",7.13,7.14,1.00,.00,.00,.00,23.725,"1,501,552",NaN,7.135,100.00%,7.2,<empty>,<empty>,<empty>
DAO,YOUDAO INC ADR,24.29,-16.04%,"1,281,449",24.30,24.33,1.00,.00,.00,.00,20.306,"1,281,449",NaN,24.300,100.00%,25.66,<empty>,<empty>,<empty>
MDRX,ALLSCRIPTS-MISYS HEALTHCARE SO COM,15.24,+0.66%,"1,056,832",15.23,15.24,1.00,.00,.00,.00,19.58,"1,056,832",NaN,15.240,100.00%,15.33,<empty>,<empty>,<empty>
AFIN,AMERICAN FINANCE TRUST INC COM USD0.01,9.91,+2.38%,"205,154",9.90,9.91,1.00,.00,.00,.00,18.574,"205,154",NaN,9.910,100.00%,9.82,<empty>,<empty>,<empty>
TU,TELUS CORP COM,20.00,-3.85%,"1,838,793",19.99,20.00,1.00,.00,.00,.00,18.248,"1,838,793",NaN,20.000,100.00%,20.02,<empty>,<empty>,<empty>
EDU,NEW ORIENTAL EDUCATION AND TEC ADR,13.245,-17.27%,"86,565,295",13.24,13.25,1.00,.00,.00,.00,18.225,"86,565,295",NaN,13.245,100.00%,13.35,<empty>,<empty>,<empty>
SKM,SK TELECOM ADR SPONSORED,26.96,+7.97%,"294,941",26.96,26.97,1.00,.00,.00,.00,17.519,"294,941",NaN,26.960,100.00%,26.91,<empty>,<empty>,<empty>
ATH,ATHENE HOLDING LTD COM CL A,48.96,-1.86%,"1,312,912",48.91,48.96,1.00,.00,.00,.00,15.827,"1,312,912",NaN,48.960,100.00%,49.25,<empty>,<empty>,<empty>
MX,MAGNACHIP SEMICONDUCTOR CORP COM,25.59,+25.38%,"10,546,294",25.58,25.60,1.00,.00,.00,.00,15.801,"10,546,294",NaN,25.590,100.00%,26.07,<empty>,<empty>,<empty>
MWA,MUELLER WATER PRODUCTS INC COM,13.60,+0.67%,"872,842",13.59,13.60,1.00,.00,.00,.00,12.421,"872,842",NaN,13.600,100.00%,13.59,<empty>,<empty>,<empty>
TAL,TAL EDUCATION GROUP ADR,51.11,-15.83%,"26,021,690",51.11,51.12,1.00,.00,.00,.00,12.229,"26,021,690",NaN,51.110,100.00%,51.78,<empty>,<empty>,<empty>
NAT,NORDIC AMER TANKERS LTD COM,3.83,+13.31%,"13,406,904",3.82,3.83,1.00,.00,.00,.00,10.796,"13,406,904",NaN,3.830,100.00%,3.84,<empty>,<empty>,<empty>
FRTA,FORTERRA INC COM,23.315,-0.02%,"229,817",23.31,23.32,1.00,.00,.00,.00,10.148,"229,817",NaN,23.315,100.00%,23.41,<empty>,<empty>,<empty>
