

Watchlist Scanner

Results
Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,Market Cap,Vol Index,Sizzle Index,Avg Price,Call Sizzle Index
CACC,CREDIT ACCEPTANCE CORPORATION COM,378.80,+7.40,+1.99%,"246,016",360.01,425.00,"6,371 M",49.89%,37.512,-,48.656
HUBB,HUBBELL INC COM,178.03,-6.34,-3.44%,"343,896",176.20,237.38,"9,666 M",31.38%,36.791,-,35.812
ALLT,ALLOT LTD COM,15.00,-.46,-2.98%,"196,079",14.57,17.45,534 M,49.09%,29.846,-,52.18
SSNC,SS&C TECHNOLOGIES HOLDINGS INC COM,67.28,-1.79,-2.59%,"1,344,302",67.11,69.85,"17,338 M",29.17%,27.392,-,31.525
ARE,ALEXANDRIA REAL ESTATE EQUITIE COM USD0.01,165.89,-.67,-0.40%,"726,807",161.71,165.92,"22,676 M",27.17%,26.235,-,28.501
COMM,COMMSCOPE HOLDINGS CO INC COM,14.82,-.83,-5.30%,"2,766,068",14.25,14.62,"2,976 M",48.22%,25.51,-,7.266
BBIG,VINCO VENTURES INC COM,3.12,-.26,-7.69%,"34,606,303",3.13,3.16,56 M,251.34%,17.993,-,17.58
MC,MOELIS & COMPANY COM CL A,54.99,-.85,-1.52%,"402,188",53.47,58.75,"3,191 M",46.12%,17.733,-,32.946
MCMJ,MERIDA MERGER CORP I COM,9.90,-.08,-0.80%,"106,353",9.67,9.98,162 M,10.47%,16.585,-,9.105
IONS,IONIS PHARMACEUTICALS INC COM,43.59,-12.05,-21.66%,"8,491,623",43.27,43.70,"6,140 M",55.90%,15.601,-,14.564
NXRT,NEXPOINT RESIDENTIAL TRUST INC COM USD0.001 'WI',45.60,+.75,+1.67%,"206,736",43.10,46.93,"1,143 M",26.51%,15.526,-,23.289
IHRT,IHEARTMEDIA INC COM CL A,17.14,-.545,-3.08%,"1,139,067",16.97,19.64,"2,400 M",65.07%,13.154,-,11.613
STL,STERLING BANCORP D COM,22.87,-1.05,-4.39%,"5,200,578",22.27,23.45,"4,424 M",46.40%,12.306,-,13.926
MO,ALTRIA GROUP INC COM,50.51,-1.13,-2.19%,"11,911,145",50.45,50.51,"93,882 M",25.43%,11.804,-,15.678
AWR,AMERICAN STATES WATER CO COM,74.40,+1.04,+1.42%,"174,421",72.34,77.29,"2,745 M",25.37%,11.121,-,9.692
NYMT,NEW YORK MORTGAGE TRUST INC COM,4.51,-.15,-3.22%,"3,810,435",4.51,4.54,"1,711 M",41.61%,11.069,-,11.745
FTAI,FORTRESS TRANSPORTATION AND IN COM USD0.01,27.00,-1.27,-4.49%,"486,448",26.67,32.00,"2,312 M",49.70%,10.792,-,12.72
MITK,MITEK SYSTEMS INC COM,14.315,-1.045,-6.80%,"856,267",14.32,15.37,611 M,65.44%,10.757,-,11.021
XLRN,ACCELERON PHARMA COM,135.99,-7.65,-5.33%,"434,881",115.00,185.03,"8,234 M",52.67%,10.724,-,10.878
CENX,CENTURY ALUMINUM COM,15.29,-1.75,-10.27%,"1,399,436",15.31,16.11,"1,377 M",73.38%,10.182,-,12.002
SMP,STANDARD MOTOR PRODUCTS INC COM,42.02,-1.10,-2.55%,"198,115",40.05,44.19,939 M,56.93%,9.988,-,11.891
WLL,WHITING PETROLEUM CORP COM,31.77,-3.21,-9.18%,"1,008,345",31.40,31.99,"1,239 M",69.88%,9.518,-,10.731
CLDT,CHATHAM LODGING TRUST COM USD0.01,13.24,-.62,-4.47%,"430,412",11.77,14.69,622 M,++,9.414,-,10.334
COR,CORESITE REALTY CORP COM USD0.01,119.57,+1.91,+1.62%,"377,599",113.34,121.00,"5,114 M",25.07%,9.123,-,10.729
CTLT,CATALENT INC COM,107.40,-2.42,-2.20%,"2,300,147",104.83,110.15,"18,282 M",52.33%,8.181,-,6.437
AWRE,AWARE INC MASSACHUSETTS COM,3.95,+.15,+3.95%,"182,348",3.65,4.22,85 M,104.35%,8.071,-,8.978
AYTU,AYTU BIOPHARMA INC COM,8.56,-.21,-2.39%,"935,966",8.37,8.56,153 M,<empty>,7.849,-,10.331
DOOR,MASONITE INTERNATIONAL CORP COM,112.18,-5.32,-4.53%,"163,559",50.00,132.26,"2,741 M",31.12%,7.716,-,4.077
PRO,PROS HOLDINGS INC COM,43.87,-.97,-2.16%,"235,428",6.88,50.83,"1,941 M",54.42%,7.596,-,7.829
RARE,ULTRAGENYX PHARMACEUTICAL INC COM,117.00,-6.57,-5.32%,"377,975",105.00,170.00,"7,833 M",73.98%,7.307,-,8.061
RYN,RAYONIER INC COM NPV,31.20,-.23,-0.73%,"1,089,235",30.40,31.84,"4,300 M",27.84%,7.113,-,8.076
BPFH,BOSTON PRIVATE HOLDINGS INC COM,13.36,-.35,-2.55%,"629,356",12.00,14.14,"1,101 M",48.23%,6.9,-,6.9
PLMR,PALOMAR HOLDINGS INC COM,67.37,-3.18,-4.51%,"231,428",54.86,98.70,"1,723 M",56.88%,6.571,-,8.289
PLBY,PLBY GROUP INC COM,18.30,+.96,+5.54%,"1,343,004",19.45,19.80,614 M,110.42%,6.569,-,6.464
WSC,WILLSCOT MOBILE MINI HLDGS COR COM CL A,25.21,-.48,-1.87%,"3,802,915",25.21,26.98,"5,705 M",45.75%,6.377,-,5.69
ECOL,US ECOLOGY INC COM,40.08,-2.96,-6.88%,"112,741",40.14,53.90,"1,263 M",40.20%,6.325,-,6.325
MAA,MID-AMERICA APARTMENT COMMUNIT COM USD0.01,144.75,+1.99,+1.39%,"601,993",140.64,144.64,"16,558 M",28.00%,6.246,-,7.305
VIH,VPC IMPACT ACQUISITION HLDGS COM CL A,14.05,+.51,+3.77%,"1,011,273",13.89,14.33,364 M,76.40%,6.163,-,3.62
FRC,FIRST REPUBLIC BANK SAN FRANCI COM,164.85,-2.11,-1.26%,"959,305",127.59,167.12,"28,722 M",32.86%,6.136,-,5.918
PRCH,PORCH GROUP INC COM,16.64,-1.46,-8.07%,"2,400,788",16.55,16.78,"1,375 M",101.21%,5.868,-,7.421
BXP,BOSTON PROPERTIES INC COM USD0.01,102.25,-.19,-0.19%,"1,016,110",100.01,103.00,"15,931 M",33.02%,5.8,-,7.042
WEC,WEC ENERGY GROUP INC COM,92.37,+3.61,+4.07%,"1,957,225",91.27,93.62,"29,137 M",22.25%,5.576,-,4.602
WDR,WADDELL & REED FINANCIAL INC COM CL A,25.00,-.04,-0.16%,"842,776",25.00,25.49,"1,554 M",<empty>,5.549,-,4.162
ALSN,ALLISON TRANSMISSION HLDGS INC COM,39.26,-2.14,-5.17%,"1,447,326",38.90,41.82,"4,395 M",33.76%,5.471,-,3.022
G,GENPACT LIMITED COM,42.86,-.35,-0.81%,"661,444",42.50,45.00,"8,064 M",34.85%,5.417,-,5.436
LEG,LEGGETT & PLATT INC COM,44.13,-2.17,-4.69%,"1,200,417",43.80,44.76,"5,869 M",40.26%,5.371,-,9.33
WES,WESTERN MIDSTREAM PARTNERS LP COM UNITS REP LTD PTNR INTR,17.30,-.95,-5.21%,"10,595,509",17.19,17.79,"7,146 M",47.65%,5.352,-,4.66
SWIR,SIERRA WIRELESS INC COM,15.25,-2.07,-11.95%,"1,166,976",15.01,15.96,562 M,57.38%,5.298,-,5.931
QTS,QTS REALTY TRUST INC COM USD0.01 CL A,62.78,+.04,+0.06%,"553,724",57.00,71.00,"4,080 M",24.27%,5.262,-,6.659
VCRA,VOCERA COMMUNICATIONS INC COM,40.17,+1.34,+3.45%,"259,976",40.17,45.00,"1,319 M",62.48%,5.257,-,5.877
KEYS,KEYSIGHT TECHNOLOGIES INC COM,135.18,-2.25,-1.64%,"943,124",132.66,138.18,"25,143 M",27.28%,5.211,-,7.002
GNK,GENCO SHIPPING & TRADING LTD COM,10.29,-1.49,-12.65%,"2,024,380",10.22,10.39,430 M,78.98%,5.195,-,4.647
MEIP,MEI PHARMA INC COM,3.57,-.09,-2.46%,"606,029",3.53,3.88,402 M,++,5.166,-,5.118
TXRH,TEXAS ROADHOUSE INC COM,92.05,-1.78,-1.90%,"682,808",91.00,96.30,"6,408 M",41.53%,5.122,-,11.28
TPR,TAPESTRY INC COM,41.09,-2.57,-5.89%,"6,111,458",40.30,42.06,"11,416 M",48.98%,5.086,-,5.28
CUZ,COUSINS PROPERTIES INC COM USD1.00(POST REV SPLIT),34.22,-.71,-2.03%,"774,651",28.75,37.45,"5,175 M",++,5.065,-,5.27
DRQ,DRIL QUIP INC COM,32.69,-2.36,-6.73%,"260,790",26.00,48.00,"1,158 M",54.58%,5.039,-,4.381
LB,LIMITED BRANDS INC COM,57.48,-2.53,-4.22%,"4,815,306",57.12,57.99,"16,026 M",51.26%,5.031,-,6.381
HCAT,HEALTH CATALYST INC COM,47.85,+.40,+0.84%,"347,690",44.81,49.98,"2,107 M",49.20%,4.939,-,6.201
BWA,BORG WARNER INC COM,44.30,-3.83,-7.96%,"3,468,644",43.26,44.50,"10,589 M",37.51%,4.924,-,3.635
MGI,MONEYGRAM INTERNATIONAL INC COM,6.50,-.30,-4.41%,"1,879,522",6.47,6.50,503 M,101.06%,4.897,-,4.953
CPRT,COPART INC COM,107.39,-2.40,-2.19%,"1,334,460",107.39,108.62,"25,378 M",30.78%,4.832,-,4.937
IRTC,IRHYTHM TECHNOLOGIES INC COM,140.93,-1.61,-1.13%,"440,004",138.01,141.01,"4,110 M",78.09%,4.816,-,4.533
SRE,SEMPRA ENERGY COM,129.52,+1.42,+1.11%,"1,438,865",128.34,130.24,"39,192 M",21.92%,4.762,-,11.195
CYBE,CYBER OPTICS COM,24.01,-.90,-3.61%,"137,502",23.88,26.13,175 M,69.45%,4.788,-,4.788
SRC,SPIRIT REALTY CAPITAL INC COM USD0.01(POST REV SPLIT),41.78,-.63,-1.49%,"693,103",41.09,42.89,"4,799 M",28.32%,4.633,-,3.443
SEM,SELECT MEDICAL HOLDINGS CORP COM,32.89,-1.79,-5.16%,"1,001,345",32.00,39.95,"4,435 M",44.81%,4.562,-,2.673
VRS,VERSO CORPORATION COM CL A,13.86,-.64,-4.41%,"293,310",11.25,15.38,458 M,45.16%,4.501,-,4.742
EGHT,8X8 INC NEW COM,32.45,-.45,-1.37%,"824,557",31.00,34.04,"3,488 M",55.61%,4.42,-,2.884
